q	H	tau	alpha	f
-10.000001	1.881826	-19.818266	1.983159	-0.013327
-9.900001	1.880803	-19.619951	1.983162	-0.013355
-9.800001	1.879759	-19.421636	1.983165	-0.013381
-9.700001	1.878693	-19.223320	1.983167	-0.013406
-9.600001	1.877604	-19.025005	1.983170	-0.013429
-9.500001	1.876493	-18.826689	1.983172	-0.013450
-9.400001	1.875359	-18.628372	1.983174	-0.013470
-9.300001	1.874199	-18.430056	1.983176	-0.013486
-9.200001	1.873015	-18.231739	1.983178	-0.013500
-9.100001	1.871804	-18.033423	1.983179	-0.013510
-9.000001	1.870567	-17.835106	1.983180	-0.013516
-8.900001	1.869302	-17.636789	1.983180	-0.013518
-8.800001	1.868008	-17.438473	1.983180	-0.013514
-8.700001	1.866684	-17.240156	1.983179	-0.013505
-8.600001	1.865330	-17.041839	1.983178	-0.013489
-8.500001	1.863944	-16.843523	1.983175	-0.013466
-8.400001	1.862524	-16.645207	1.983171	-0.013435
-8.300001	1.861071	-16.446892	1.983167	-0.013394
-8.200001	1.859582	-16.248577	1.983161	-0.013343
-8.100001	1.858057	-16.050263	1.983153	-0.013280
-8.000001	1.856493	-15.851949	1.983144	-0.013204
-7.900001	1.854891	-15.653637	1.983133	-0.013113
-7.800001	1.853247	-15.455326	1.983119	-0.013006
-7.700001	1.851560	-15.257017	1.983103	-0.012881
-7.600001	1.849830	-15.058709	1.983085	-0.012736
-7.500001	1.848054	-14.860403	1.983063	-0.012568
-7.400001	1.846229	-14.662100	1.983037	-0.012376
-7.300001	1.844356	-14.463800	1.983007	-0.012156
-7.200001	1.842431	-14.265503	1.982973	-0.011906
-7.100001	1.840452	-14.067209	1.982934	-0.011621
-7.000001	1.838417	-13.868920	1.982888	-0.011300
-6.900001	1.836324	-13.670636	1.982836	-0.010937
-6.800001	1.834170	-13.472357	1.982777	-0.010529
-6.700001	1.831953	-13.274085	1.982709	-0.010070
-6.600001	1.829669	-13.075820	1.982632	-0.009556
-6.500001	1.827317	-12.877563	1.982545	-0.008981
-6.400001	1.824893	-12.679316	1.982446	-0.008339
-6.300001	1.822393	-12.481079	1.982333	-0.007623
-6.200001	1.819815	-12.282855	1.982206	-0.006826
-6.100001	1.817154	-12.084644	1.982062	-0.005939
-6.000001	1.814408	-11.886448	1.981900	-0.004954
-5.900001	1.811571	-11.688270	1.981717	-0.003861
-5.800001	1.808640	-11.490111	1.981510	-0.002650
-5.700001	1.805609	-11.291975	1.981277	-0.001308
-5.600001	1.802475	-11.093863	1.981015	0.000176
-5.500001	1.799232	-10.895779	1.980720	0.001817
-5.400001	1.795875	-10.697726	1.980388	0.003628
-5.300001	1.792398	-10.499709	1.980015	0.005628
-5.200001	1.788794	-10.301731	1.979595	0.007833
-5.100001	1.785058	-10.103798	1.979124	0.010264
-5.000001	1.781183	-9.905916	1.978595	0.012941
-4.900001	1.777161	-9.708089	1.978000	0.015888
-4.800001	1.772984	-9.510326	1.977332	0.019130
-4.700001	1.768645	-9.312633	1.976582	0.022696
-4.600001	1.764134	-9.115020	1.975740	0.026615
-4.500001	1.759443	-8.917497	1.974794	0.030921
-4.400001	1.754562	-8.720074	1.973732	0.035650
-4.300001	1.749480	-8.522764	1.972539	0.040842
-4.200001	1.744185	-8.325580	1.971199	0.046540
-4.100001	1.738668	-8.128539	1.969694	0.052792
-4.000001	1.732914	-7.931657	1.968002	0.059648
-3.900001	1.726911	-7.734955	1.966099	0.067166
-3.800001	1.720646	-7.538456	1.963960	0.075407
-3.700001	1.714103	-7.342183	1.961552	0.084437
-3.600001	1.707268	-7.146166	1.958843	0.094328
-3.500001	1.700124	-6.950437	1.955793	0.105159
-3.400001	1.692656	-6.755032	1.952359	0.117011
-3.300001	1.684845	-6.559991	1.948490	0.129973
-3.200001	1.676675	-6.365362	1.944132	0.144138
-3.100001	1.668127	-6.171195	1.939223	0.159602
-3.000001	1.659183	-5.977550	1.933695	0.176464
-2.900001	1.649824	-5.784492	1.927472	0.194822
-2.800001	1.640033	-5.592094	1.920472	0.214769
-2.700001	1.629792	-5.400439	1.912609	0.236393
-2.600001	1.619083	-5.209617	1.903787	0.259769
-2.500001	1.607891	-5.019729	1.893910	0.284951
-2.400001	1.596202	-4.830886	1.882880	0.311973
-2.300001	1.584002	-4.643207	1.870596	0.340834
-2.200001	1.571283	-4.456823	1.856965	0.371498
-2.100001	1.558034	-4.271874	1.841900	0.403882
-2.000001	1.544252	-4.088505	1.825322	0.437859
-1.900001	1.529932	-3.906872	1.807168	0.473252
-1.800001	1.515075	-3.727136	1.787389	0.509834
-1.700001	1.499681	-3.549460	1.765954	0.547337
-1.600001	1.483755	-3.374010	1.742846	0.585454
-1.500001	1.467302	-3.200955	1.718067	0.623853
-1.400001	1.450327	-3.030460	1.691627	0.662180
-1.300001	1.432838	-2.862691	1.663548	0.700077
-1.200001	1.414841	-2.697811	1.633855	0.737183
-1.100001	1.396343	-2.535979	1.602575	0.773145
-1.000001	1.377352	-2.377353	1.569730	0.807621
-0.900001	1.357875	-2.222089	1.535344	0.840278
-0.800001	1.337923	-2.070340	1.499435	0.870790
-0.700001	1.317507	-1.922256	1.462025	0.898837
-0.600001	1.296642	-1.777987	1.423146	0.924098
-0.500001	1.275351	-1.637677	1.382844	0.946254
-0.400001	1.253660	-1.501465	1.341190	0.964988
-0.300001	1.231602	-1.369482	1.298289	0.979994
-0.200001	1.209221	-1.241845	1.254279	0.990988
-0.100001	1.186565	-1.118658	1.209340	0.997722
-0.000001	1.163694	-1.000001	1.163694	1.000000
0.099999	1.140671	-0.885934	1.117596	0.997693
0.199999	1.117569	-0.776487	1.071336	0.990754
0.299999	1.094465	-0.671662	1.025231	0.979230
0.399999	1.071440	-0.571425	0.979612	0.963269
0.499999	1.048577	-0.475712	0.934820	0.943121
0.599999	1.025962	-0.384424	0.891192	0.919138
0.699999	1.003678	-0.297426	0.849051	0.891761
0.799999	0.981805	-0.214557	0.808687	0.861506
0.899999	0.960417	-0.135625	0.770352	0.828941
0.999999	0.939583	-0.060418	0.734243	0.794660
1.099999	0.919361	0.011296	0.700498	0.759251
1.199999	0.899798	0.079756	0.669193	0.723275
1.299999	0.880930	0.145208	0.640343	0.687238
1.399999	0.862783	0.207896	0.613908	0.651574
1.499999	0.845372	0.268057	0.589800	0.616643
1.599999	0.828700	0.325919	0.567899	0.582719
1.699999	0.812762	0.381694	0.548057	0.550003
1.799999	0.797545	0.435581	0.530114	0.518624
1.899999	0.783033	0.487762	0.513902	0.488651
1.999999	0.769201	0.538401	0.499254	0.460106
2.099999	0.756022	0.587646	0.486010	0.432975
2.199999	0.743469	0.635631	0.474021	0.407214
2.299999	0.731511	0.682474	0.463147	0.382762
2.399999	0.720117	0.728281	0.453263	0.359549
2.499999	0.709258	0.773143	0.444257	0.337499
2.599999	0.698902	0.817146	0.436031	0.316535
2.699999	0.689023	0.860360	0.428498	0.296584
2.799999	0.679591	0.902854	0.421583	0.277577
2.899999	0.670581	0.944684	0.415220	0.259454
2.999999	0.661968	0.985903	0.409354	0.242159
3.099999	0.653729	1.026558	0.403937	0.225645
3.199999	0.645842	1.066693	0.398926	0.209870
3.299999	0.638287	1.106345	0.394287	0.194801
3.399999	0.631045	1.145551	0.389988	0.180407
3.499999	0.624098	1.184343	0.386002	0.166663
3.599999	0.617431	1.222751	0.382306	0.153548
3.699999	0.611028	1.260804	0.378878	0.141044
3.799999	0.604875	1.298526	0.375700	0.129133
3.899999	0.598960	1.335942	0.372755	0.117801
3.999999	0.593269	1.373075	0.370027	0.107033
4.099999	0.587792	1.409946	0.367503	0.096815
4.199999	0.582518	1.446574	0.365168	0.087133
4.299999	0.577437	1.482977	0.363012	0.077974
4.399999	0.572540	1.519174	0.361022	0.069321
4.499999	0.567818	1.555179	0.359187	0.061162
4.599999	0.563263	1.591009	0.357498	0.053480
4.699999	0.558867	1.626676	0.355944	0.046260
4.799999	0.554624	1.662194	0.354517	0.039485
4.899999	0.550526	1.697576	0.353207	0.033138
4.999999	0.546567	1.732833	0.352007	0.027203
5.099999	0.542740	1.767974	0.350909	0.021663
5.199999	0.539041	1.803011	0.349906	0.016501
5.299999	0.535463	1.837952	0.348991	0.011698
5.399999	0.532001	1.872806	0.348157	0.007239
5.499999	0.528651	1.907580	0.347398	0.003107
5.599999	0.525408	1.942282	0.346708	-0.000716
5.699999	0.522266	1.976918	0.346083	-0.004245
5.799999	0.519223	2.011495	0.345517	-0.007497
5.899999	0.516274	2.046018	0.345005	-0.010487
5.999999	0.513415	2.080492	0.344544	-0.013230
6.099999	0.510643	2.114923	0.344128	-0.015740
6.199999	0.507954	2.149314	0.343755	-0.018032
6.299999	0.505345	2.183670	0.343421	-0.020119
6.399999	0.502812	2.217995	0.343122	-0.022013
6.499999	0.500353	2.252291	0.342856	-0.023728
6.599999	0.497964	2.286562	0.342619	-0.025275
6.699999	0.495644	2.320811	0.342410	-0.026665
6.799999	0.493388	2.355041	0.342225	-0.027908
6.899999	0.491196	2.389253	0.342063	-0.029016
6.999999	0.489064	2.423450	0.341922	-0.029996
7.099999	0.486991	2.457634	0.341799	-0.030860
7.199999	0.484973	2.491807	0.341694	-0.031614
7.299999	0.483010	2.525969	0.341603	-0.032267
7.399999	0.481098	2.560124	0.341527	-0.032826
7.499999	0.479236	2.594271	0.341463	-0.033299
7.599999	0.477423	2.628413	0.341411	-0.033692
7.699999	0.475656	2.662550	0.341369	-0.034012
7.799999	0.473934	2.696684	0.341336	-0.034265
7.899999	0.472255	2.730814	0.341311	-0.034455
7.999999	0.470618	2.764943	0.341294	-0.034588
8.099999	0.469021	2.799070	0.341284	-0.034668
8.199999	0.467463	2.833197	0.341280	-0.034701
8.299999	0.465943	2.867323	0.341281	-0.034691
8.399999	0.464458	2.901450	0.341287	-0.034640
8.499999	0.463009	2.935578	0.341297	-0.034554
8.599999	0.461594	2.969707	0.341311	-0.034434
8.699999	0.460211	3.003837	0.341328	-0.034285
8.799999	0.458860	3.037970	0.341348	-0.034110
8.899999	0.457540	3.072104	0.341370	-0.033910
8.999999	0.456249	3.106241	0.341395	-0.033688
9.099999	0.454987	3.140381	0.341421	-0.033447
9.199999	0.453753	3.174523	0.341449	-0.033189
9.299999	0.452545	3.208668	0.341479	-0.032916
9.399999	0.451364	3.242817	0.341509	-0.032629
9.499999	0.450207	3.276968	0.341541	-0.032330
9.599999	0.449075	3.311122	0.341573	-0.032022
9.699999	0.447967	3.345280	0.341606	-0.031704
9.799999	0.446882	3.379441	0.341639	-0.031379
9.899999	0.445819	3.413606	0.341673	-0.031048
9.999999	0.444777	3.447774	0.341706	-0.030711
