q	H	tau	alpha	f
-4.000001	0.248371	-2.993485	0.293493	1.819513
-3.900001	0.247244	-2.964254	0.291130	1.828848
-3.800001	0.246121	-2.935258	0.288774	1.837916
-3.700001	0.244999	-2.906498	0.286427	1.846716
-3.600001	0.243881	-2.877972	0.284089	1.855251
-3.500001	0.242766	-2.849680	0.281759	1.863522
-3.400001	0.241653	-2.821620	0.279438	1.871530
-3.300001	0.240543	-2.793792	0.277126	1.879276
-3.200001	0.239436	-2.766195	0.274823	1.886762
-3.100001	0.238331	-2.738827	0.272528	1.893990
-3.000001	0.237229	-2.711689	0.270242	1.900962
-2.900001	0.236130	-2.684778	0.267965	1.907679
-2.800001	0.235034	-2.658095	0.265697	1.914143
-2.700001	0.233940	-2.631639	0.263438	1.920357
-2.600001	0.232849	-2.605407	0.261187	1.926321
-2.500001	0.231760	-2.579401	0.258945	1.932039
-2.400001	0.230674	-2.553618	0.256711	1.937511
-2.300001	0.229590	-2.528058	0.254486	1.942740
-2.200001	0.228509	-2.502721	0.252269	1.947728
-2.100001	0.227430	-2.477604	0.250060	1.952477
-2.000001	0.226354	-2.452708	0.247860	1.956988
-1.900001	0.225280	-2.428032	0.245667	1.961264
-1.800001	0.224208	-2.403574	0.243482	1.965307
-1.700001	0.223138	-2.379335	0.241304	1.969117
-1.600001	0.222071	-2.355313	0.239134	1.972698
-1.500001	0.221005	-2.331508	0.236971	1.976051
-1.400001	0.219942	-2.307919	0.234816	1.979177
-1.300001	0.218880	-2.284545	0.232667	1.982078
-1.200001	0.217821	-2.261385	0.230524	1.984756
-1.100001	0.216763	-2.238440	0.228388	1.987213
-1.000001	0.215707	-2.215707	0.226258	1.989449
-0.900001	0.214653	-2.193188	0.224134	1.991467
-0.800001	0.213600	-2.170880	0.222015	1.993268
-0.700001	0.212549	-2.148785	0.219902	1.994853
-0.600001	0.211499	-2.126900	0.217793	1.996224
-0.500001	0.210451	-2.105226	0.215689	1.997381
-0.400001	0.209404	-2.083762	0.213590	1.998326
-0.300001	0.208358	-2.062508	0.211494	1.999059
-0.200001	0.207313	-2.041463	0.209402	1.999582
-0.100001	0.206269	-2.020627	0.207313	1.999896
-0.000001	0.205226	-2.000000	0.205226	2.000000
0.099999	0.204184	-1.979582	0.203142	1.999896
0.199999	0.203142	-1.959372	0.201059	1.999583
0.299999	0.202101	-1.939370	0.198977	1.999063
0.399999	0.201059	-1.919576	0.196895	1.998334
0.499999	0.200018	-1.899991	0.194813	1.997397
0.599999	0.198977	-1.880614	0.192730	1.996252
0.699999	0.197936	-1.861445	0.190645	1.994896
0.799999	0.196894	-1.842485	0.188558	1.993331
0.899999	0.195852	-1.823734	0.186466	1.991553
0.999999	0.194808	-1.805192	0.184371	1.989562
1.099999	0.193764	-1.786860	0.182269	1.987356
1.199999	0.192718	-1.768738	0.180161	1.984931
1.299999	0.191671	-1.750828	0.178045	1.982286
1.399999	0.190622	-1.733129	0.175919	1.979416
1.499999	0.189571	-1.715644	0.173783	1.976318
1.599999	0.188517	-1.698373	0.171634	1.972987
1.699999	0.187460	-1.681318	0.169471	1.969418
1.799999	0.186400	-1.664480	0.167291	1.965604
1.899999	0.185337	-1.647860	0.165094	1.961539
1.999999	0.184269	-1.631461	0.162876	1.957214
2.099999	0.183197	-1.615286	0.160636	1.952622
2.199999	0.182121	-1.599335	0.158371	1.947751
2.299999	0.181038	-1.583612	0.156078	1.942591
2.399999	0.179950	-1.568120	0.153754	1.937129
2.499999	0.178855	-1.552862	0.151396	1.931351
2.599999	0.177753	-1.537842	0.149000	1.925242
2.699999	0.176643	-1.523064	0.146563	1.918783
2.799999	0.175525	-1.508531	0.144080	1.911956
2.899999	0.174397	-1.494249	0.141549	1.904739
2.999999	0.173259	-1.480223	0.138962	1.897110
3.099999	0.172110	-1.466458	0.136317	1.889041
3.199999	0.170950	-1.452961	0.133608	1.880505
3.299999	0.169776	-1.439738	0.130828	1.871470
3.399999	0.168589	-1.426798	0.127972	1.861903
3.499999	0.167387	-1.414146	0.125034	1.851766
3.599999	0.166169	-1.401793	0.122007	1.841020
3.699999	0.164933	-1.389747	0.118885	1.829620
3.799999	0.163679	-1.378019	0.115658	1.817521
3.899999	0.162406	-1.366619	0.112321	1.804672
3.999999	0.161111	-1.355558	0.108865	1.791019
