q	H	tau	alpha	f
-4.000001	0.247934	-2.991737	0.293290	1.818576
-3.900001	0.246802	-2.962527	0.290914	1.827961
-3.800001	0.245672	-2.933554	0.288547	1.837074
-3.700001	0.244545	-2.904817	0.286189	1.845919
-3.600001	0.243421	-2.876316	0.283839	1.854495
-3.500001	0.242300	-2.848049	0.281498	1.862805
-3.400001	0.241181	-2.820016	0.279166	1.870851
-3.300001	0.240065	-2.792215	0.276843	1.878633
-3.200001	0.238952	-2.764647	0.274529	1.886155
-3.100001	0.237842	-2.737309	0.272223	1.893417
-3.000001	0.236734	-2.710202	0.269926	1.900422
-2.900001	0.235629	-2.683323	0.267639	1.907171
-2.800001	0.234526	-2.656674	0.265359	1.913667
-2.700001	0.233426	-2.630251	0.263089	1.919911
-2.600001	0.232329	-2.604055	0.260827	1.925906
-2.500001	0.231234	-2.578085	0.258573	1.931653
-2.400001	0.230142	-2.552340	0.256328	1.937153
-2.300001	0.229052	-2.526820	0.254091	1.942410
-2.200001	0.227964	-2.501522	0.251862	1.947425
-2.100001	0.226879	-2.476447	0.249641	1.952200
-2.000001	0.225797	-2.451593	0.247428	1.956737
-1.900001	0.224716	-2.426961	0.245223	1.961037
-1.800001	0.223638	-2.402548	0.243026	1.965102
-1.700001	0.222562	-2.378355	0.240836	1.968935
-1.600001	0.221488	-2.354381	0.238653	1.972536
-1.500001	0.220416	-2.330625	0.236477	1.975909
-1.400001	0.219347	-2.307085	0.234309	1.979053
-1.300001	0.218279	-2.283763	0.232147	1.981972
-1.200001	0.217213	-2.260656	0.229991	1.984666
-1.100001	0.216149	-2.237764	0.227842	1.987137
-1.000001	0.215087	-2.215087	0.225700	1.989387
-0.900001	0.214027	-2.192624	0.223563	1.991417
-0.800001	0.212968	-2.170374	0.221431	1.993229
-0.700001	0.211911	-2.148338	0.219305	1.994824
-0.600001	0.210855	-2.126513	0.217185	1.996202
-0.500001	0.209801	-2.104901	0.215069	1.997366
-0.400001	0.208748	-2.083499	0.212957	1.998316
-0.300001	0.207696	-2.062309	0.210849	1.999054
-0.200001	0.206645	-2.041329	0.208745	1.999580
-0.100001	0.205596	-2.020560	0.206645	1.999895
-0.000001	0.204547	-2.000000	0.204547	2.000000
0.099999	0.203499	-1.979650	0.202451	1.999895
0.199999	0.202452	-1.959510	0.200358	1.999581
0.299999	0.201405	-1.939579	0.198265	1.999058
0.399999	0.200359	-1.919857	0.196173	1.998326
0.499999	0.199312	-1.900344	0.194082	1.997385
0.599999	0.198266	-1.881040	0.191989	1.996234
0.699999	0.197220	-1.861946	0.189895	1.994872
0.799999	0.196173	-1.843062	0.187798	1.993300
0.899999	0.195126	-1.824387	0.185698	1.991515
0.999999	0.194078	-1.805922	0.183594	1.989516
1.099999	0.193029	-1.787668	0.181485	1.987301
1.199999	0.191979	-1.769625	0.179369	1.984867
1.299999	0.190927	-1.751795	0.177245	1.982212
1.399999	0.189874	-1.734177	0.175112	1.979333
1.499999	0.188818	-1.716773	0.172968	1.976224
1.599999	0.187760	-1.699584	0.170812	1.972882
1.699999	0.186700	-1.682611	0.168642	1.969302
1.799999	0.185636	-1.665856	0.166456	1.965476
1.899999	0.184569	-1.649320	0.164252	1.961399
1.999999	0.183497	-1.633006	0.162028	1.957062
2.099999	0.182422	-1.616915	0.159782	1.952456
2.199999	0.181341	-1.601050	0.157510	1.947571
2.299999	0.180255	-1.585414	0.155210	1.942397
2.399999	0.179163	-1.570009	0.152879	1.936919
2.499999	0.178064	-1.554839	0.150514	1.931124
2.599999	0.176959	-1.539907	0.148111	1.924996
2.699999	0.175845	-1.525218	0.145666	1.918517
2.799999	0.174723	-1.510775	0.143176	1.911668
2.899999	0.173592	-1.496584	0.140636	1.904428
2.999999	0.172450	-1.482650	0.138041	1.896771
3.099999	0.171298	-1.468978	0.135386	1.888673
3.199999	0.170133	-1.455574	0.132665	1.880104
3.299999	0.168956	-1.442447	0.129874	1.871032
3.399999	0.167764	-1.429602	0.127006	1.861423
3.499999	0.166558	-1.417048	0.124055	1.851240
3.599999	0.165335	-1.404793	0.121014	1.840442
3.699999	0.164095	-1.392848	0.117875	1.828984
3.799999	0.162837	-1.381221	0.114631	1.816819
3.899999	0.161558	-1.369924	0.111275	1.803896
3.999999	0.160258	-1.358969	0.107798	1.790160
