Runtime 502 seconds
q	H	tau	alpha	f
-4.000001	0.302716	-4.210863	0.356336	2.785518
-3.900001	0.301377	-4.175371	0.353512	2.796673
-3.800001	0.300042	-4.140161	0.350699	2.807505
-3.700001	0.298711	-4.105231	0.347896	2.818016
-3.600001	0.297383	-4.070581	0.345103	2.828209
-3.500001	0.296060	-4.036210	0.342322	2.838084
-3.400001	0.294740	-4.002116	0.339551	2.847643
-3.300001	0.293424	-3.968299	0.336791	2.856889
-3.200001	0.292112	-3.934757	0.334042	2.865823
-3.100001	0.290803	-3.901490	0.331304	2.874447
-3.000001	0.289499	-3.868496	0.328578	2.882763
-2.900001	0.288198	-3.835774	0.325863	2.890772
-2.800001	0.286901	-3.803323	0.323159	2.898478
-2.700001	0.285608	-3.771142	0.320467	2.905882
-2.600001	0.284319	-3.739229	0.317786	2.912986
-2.500001	0.283034	-3.707584	0.315117	2.919792
-2.400001	0.281752	-3.676205	0.312459	2.926303
-2.300001	0.280475	-3.645092	0.309814	2.932520
-2.200001	0.279201	-3.614242	0.307180	2.938446
-2.100001	0.277931	-3.583655	0.304558	2.944083
-2.000001	0.276665	-3.553330	0.301948	2.949434
-1.900001	0.275403	-3.523265	0.299350	2.954501
-1.800001	0.274144	-3.493460	0.296763	2.959286
-1.700001	0.272889	-3.463912	0.294189	2.963791
-1.600001	0.271638	-3.434622	0.291626	2.968020
-1.500001	0.270391	-3.405587	0.289075	2.971974
-1.400001	0.269147	-3.376806	0.286535	2.975657
-1.300001	0.267907	-3.348279	0.284007	2.979070
-1.200001	0.266670	-3.320004	0.281490	2.982216
-1.100001	0.265437	-3.291981	0.278985	2.985097
-1.000001	0.264207	-3.264207	0.276491	2.987716
-0.900001	0.262980	-3.236682	0.274007	2.990076
-0.800001	0.261756	-3.209405	0.271533	2.992178
-0.700001	0.260536	-3.182375	0.269070	2.994026
-0.600001	0.259318	-3.155591	0.266616	2.995621
-0.500001	0.258103	-3.129052	0.264172	2.996966
-0.400001	0.256890	-3.102756	0.261735	2.998062
-0.300001	0.255680	-3.076704	0.259307	2.998912
-0.200001	0.254472	-3.050895	0.256886	2.999517
-0.100001	0.253266	-3.025327	0.254471	2.999879
-0.000001	0.252061	-3.000000	0.252061	3.000000
0.099999	0.250858	-2.974914	0.249655	2.999880
0.199999	0.249656	-2.950069	0.247252	2.999519
0.299999	0.248454	-2.925464	0.244849	2.998919
0.399999	0.247252	-2.901099	0.242446	2.998077
0.499999	0.246050	-2.876975	0.240039	2.996994
0.599999	0.244848	-2.853092	0.237627	2.995667
0.699999	0.243643	-2.829450	0.235205	2.994094
0.799999	0.242437	-2.806051	0.232772	2.992268
0.899999	0.241227	-2.782896	0.230323	2.990186
0.999999	0.240013	-2.759987	0.227852	2.987839
1.099999	0.238794	-2.737327	0.225355	2.985217
1.199999	0.237569	-2.714917	0.222826	2.982308
1.299999	0.236337	-2.692763	0.220256	2.979095
1.399999	0.235095	-2.670868	0.217636	2.975558
1.499999	0.233842	-2.649237	0.214957	2.971673
1.599999	0.232576	-2.627878	0.212207	2.967409
1.699999	0.231295	-2.606799	0.209370	2.962727
1.799999	0.229996	-2.586007	0.206430	2.957581
1.899999	0.228676	-2.565516	0.203367	2.951914
1.999999	0.227331	-2.545338	0.200158	2.945655
2.099999	0.225957	-2.525490	0.196776	2.938719
2.199999	0.224550	-2.505989	0.193188	2.931002
2.299999	0.223105	-2.486859	0.189356	2.922379
2.399999	0.221614	-2.468127	0.185237	2.912696
2.499999	0.220071	-2.449822	0.180779	2.901770
2.599999	0.218468	-2.431983	0.175922	2.889380
2.699999	0.216796	-2.414651	0.170596	2.875261
2.799999	0.215043	-2.397879	0.164721	2.859099
2.899999	0.213198	-2.381726	0.158205	2.840521
2.999999	0.211247	-2.366260	0.150944	2.819091
3.099999	0.209174	-2.351562	0.142819	2.794302
3.199999	0.206961	-2.337725	0.133701	2.765569
3.299999	0.204590	-2.324855	0.123447	2.732229
3.399999	0.202038	-2.313073	0.111904	2.693546
3.499999	0.199281	-2.302515	0.098914	2.648714
3.599999	0.196296	-2.293335	0.084318	2.596878
3.699999	0.193054	-2.285701	0.067963	2.537163
3.799999	0.189528	-2.279795	0.049715	2.468712
3.899999	0.185689	-2.275813	0.029470	2.390745
3.999999	0.181511	-2.273957	0.007167	2.302624
